Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Ring Push Up,https://youtu.be/u8tOhNwiL70,https://youtu.be/QD8yeUtH-QM,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Ring Push Up,https://youtu.be/9sjQEtGoScA,,Expert,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,1,,,Prone,Single Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,Anti-Rotational ,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Ring Support Hold,https://youtu.be/kONbxg4kzkE,https://youtu.be/9PKChU9Ozs8,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,
Ring Side Plank,https://youtu.be/PQ3Vz8fp73k,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Gymnastic Rings,1,,,Side Plank,Double Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Ring L Sit Muscle Up,https://youtu.be/CP4kwFLxRYg,https://youtu.be/d_UZZJ3WMJE,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,False Grip,No Load,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics
Ring Strict Muscle Up,https://youtu.be/vJTJFc2wmk4,https://youtu.be/j-5Ubq3ZOds,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,False Grip,No Load,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics
Ring Chest Fly,https://youtu.be/ytAxGbZ7g80,https://youtu.be/1eqKau93EPw,Intermediate,Chest,Pectoralis Major,,,Gymnastic Rings,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,
Single Arm Barbell Bicep Curl,https://youtu.be/NQ53MadCtW0,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,1,,,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Hollow Rock ,https://youtu.be/p7j02V1fIzU,https://youtu.be/hbsljZvfp6E,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Double Arm,Continuous,No Grip,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Dumbbell Power Snatch,https://youtu.be/3mlhF3dptAo,https://youtu.be/Dc8XQpyly3g,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Alternating Single Arm Dumbbell Power Snatch,https://youtu.be/OktkfRlGcns,,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Single Arm Dumbbell Squat Snatch,https://youtu.be/etK3OPjM3S4,https://youtu.be/PlTCUyVcY0E,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Alternating Single Arm Dumbbell Squat Snatch,https://youtu.be/T0_a2xijJBE,,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Single Arm Cable Single Leg Romanian Deadlift,https://youtu.be/OC_7QIo0uk4,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,,,Single Leg Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Single Leg Romanian Deadlift ,https://youtu.be/JkKxFADvLvk,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Romanian Deadlift ,https://youtu.be/Xa8hHIwOHe4,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,https://youtu.be/9u_Fccgk9Ys,https://youtu.be/Zfr6wizR8rs,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Contralateral,Bodybuilding
Cable Wide Grip Lat Pulldown,https://youtu.be/UWhyxvCCzhw,https://youtu.be/83Y3CFcgnkQ,Beginner,Back,Latissimus Dorsi,,,Cable,1,,,Seated,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Cable Reverse Grip Lat Pulldown,https://youtu.be/zLKwAYUmGMc,https://youtu.be/apzFTbsm7HU,Beginner,Back,Latissimus Dorsi,,,Cable,1,,,Seated,Double Arm,Continuous,Supinated,Overhead,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Cable Seated V Grip Lat Pulldown,https://youtu.be/8hzVLzu-RJk,https://youtu.be/EjIETxOawcg,Beginner,Back,Latissimus Dorsi,,,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Cable Half Kneeling Face Pull,https://youtu.be/tfUo4ebRcpk,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Single Arm Landmine Half Knee Hover Shoulder Press,,,Expert,Shoulders,Anterior Deltoids,,,Landmine,1,,,Half Knee Hover,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Double Dumbbell Seated Good Morning,https://youtu.be/x5nnk8hUBo4,https://youtu.be/7NMbAV4KPpo,Novice,Back,Erector Spinae,Biceps Femoris,Gluteus Maximus,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,,,Compound,Bilateral,Bodybuilding
Bodyweight Hip Thrust,https://youtu.be/OAhvIWLC0rc,,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,Bench (Flat),1,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,,,,Lower Body,,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Overhead Squat,https://youtu.be/j0aAMnMp0yU,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Dumbbell Seated Alternating Lateral Raise,,,Novice,Shoulders,Medial Deltoids,,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Alternating,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Single Arm Dumbbell Bench Press,https://youtu.be/X8zXg41yziI,https://youtu.be/x5IU1KAVwSo,Novice,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,1,Bench (Flat),1,Supine,Single Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Bench Press,https://youtu.be/VmB1G1K7v94,https://youtu.be/xphvjGDZeYE,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Incline Bench Press,https://youtu.be/8iPEnn-ltC8,https://youtu.be/0G2_XV7slIg,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Incline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Stability Ball Dumbbell W Raise,https://youtu.be/BnLUcAR6bpE,,Novice,Shoulders,Posterior Deltoids,,,Stability Ball,1,Dumbbell,2,Prone,Double Arm,Continuous,Pronated,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Ring Side Plank Reach Through,,,Expert,Abdominals,Obliques,Rectus Abdominis ,,Gymnastic Rings,1,,,Side Plank,Single Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Knee Over Toes Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Kettlebell Z Press,https://youtu.be/6GbGvGvedOc,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Seated Floor,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Clean,https://youtu.be/8tFmEJ9ElaM,https://youtu.be/26GZTfSdz-s,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Snatch,https://youtu.be/5WNcWPHXRZ0,https://youtu.be/73koR_IuoDE,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Push Press,https://youtu.be/ekNrVv6G5v8,https://youtu.be/4DAzffDFYzc,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Split Jerk,https://youtu.be/6sbNXcg-R0Y,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Ballistics
Double Kettlebell Clean and Jerk,https://youtu.be/hGWjeTBnJ-A,https://youtu.be/Xk2N_cFXgtE,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell High Pull,https://youtu.be/dE9tcZabirE,https://youtu.be/8DNPOulUgE4,Intermediate,Shoulders,Posterior Deltoids,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,
Double Kettlebell Sumo Deadlift,https://youtu.be/4m288BpgfcQ,https://youtu.be/gdutIla6nMw?si=Gq1r56mRXADNUek8,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Bent Over Row,https://youtu.be/Db2NSEyPY_Y,https://youtu.be/ygFBq3Bfb4c?si=iz5oUuggWLJU3cLH,Beginner,Back,Latissimus Dorsi,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Squat,https://youtu.be/IvN-CSDnvoc,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Knee Over Toes Split Squat,https://youtu.be/G7e7EenICzQ,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Knee Over Toes Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Thruster,https://youtu.be/5-mxMxigTfw,,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,https://youtu.be/aJGPHYsiyTM,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Tall Kneeling Overhead Press,https://youtu.be/2nJsZIScaVk,https://youtu.be/YxhDufCVPCE?si=J1eGoIkEExg-7WbL,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Walking Lunge,https://youtu.be/Xmfx1eZMKmY,https://youtu.be/ARBkmwST4Nc,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Walking Lunge,https://youtu.be/hcQJcKxc240,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Alternating Sots Press,https://youtu.be/jyhHQ3p_Kco,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Alternating,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Double Kettlebell Shrug,https://youtu.be/dB5Wxd_zS80,https://youtu.be/QncHUDKABEQ,Beginner,Trapezius ,Upper Trapezius,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Kettlebell Hang Squat Clean,https://youtu.be/6wyxpVY8PQ0,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Hollow Hold,https://youtu.be/do1yf3NMXdg,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Pronated,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Hollow Hold With Flutter Kick,https://youtu.be/HOQeoz3zQeo,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Supine,Double Arm,Continuous,Pronated,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Double Kettlebell Dead Clean to Push Press,https://youtu.be/NAZ9uF9S_wk,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Pendlay Row,https://youtu.be/KoOmLu7ms1s,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Split Squat,https://youtu.be/ExJCssj4YV0,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Split Stance Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Bulgarian Split Squat,https://youtu.be/Q3yDIeMfdNg,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Squat,https://youtu.be/2Pk8jmse6vY,https://youtu.be/nGXtan2AQ8Q,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Half Kneeling Overhead Press,https://youtu.be/ZcUxxxNl1PA,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Half Kneeling,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Cyclist Squat,https://youtu.be/xkL1f4yewf0,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Slant Board ,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Reverse Lunge,https://youtu.be/PwtxLgNobQQ,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Double Kettlebell Front Rack Box Step Up,https://youtu.be/wcnuhd6RHwE,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Knee Over Toes Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,https://youtu.be/ppBgsm8s-IU,https://youtu.be/L3LRh_v5W38,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Hip Hinge,Vertical Push,,Transverse Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Arm Kettlebell Rotational Overhead Press,https://youtu.be/jtOoPLn8OEQ,,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Spinal Rotational,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Sumo Deadlift,https://youtu.be/1XyV5eNL1z0,,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,
Single Arm Kettlebell Front Rack Contralateral Knee Over Toes Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Push Press,https://youtu.be/KUsZAGWd0VQ,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Kettlebell Push Jerk,https://youtu.be/pRfJwVHLp6c,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Ballistics
Single Arm Kettlebell Seated Overhead Press,https://youtu.be/LcVh7l7WyJo,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Seated,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Z Press,https://youtu.be/ygiRarZWXHw,https://youtu.be/iDLwdQJreYQ,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Seated Floor,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
